order,time
10,24500
20,34200
30,42300
40,54800
50,61500
60,74200
70,81800
80,86200
90,94600
100,105300
110,113500
120,133400
130,147700
140,164500
150,165700
160,189700
170,168700
180,173400
190,193000
200,191200
210,206900
220,208200
230,215500
240,328800
250,240000
260,255800
270,261100
280,267700
290,290300
300,283300
310,300000
320,297800
330,308500
340,323700
350,349600
360,344800
370,342000
380,350800
390,368400
400,367100
410,386200
420,428000
430,396100
440,403400
450,475100
460,412500
470,463100
480,465600
490,460400
