order,time
7,26303.0
14,40642.0
21,56574.0
28,72654.0
35,91357.0
42,117051.5
49,136383.0
56,167754.5
63,198161.5
70,237047.0
77,284330.0
84,329844.0
91,395497.5
98,472605.5
105,557241.0
112,655338.5
119,724618.0
126,945697.5
133,1118101.5
140,1319067.0
147,1534058.5
154,1678046.0
161,2004384.0
168,2207325.5
175,2629923.5
182,3029607.0
189,3437575.5
196,3989859.0
203,4278266.5
210,5054663.5
217,5716388.0
224,6404165.5
231,7096839.5
238,7836102.0
245,9132262.5
252,10755604.5
259,11480011.0
266,13227673.0
273,14823561.5
280,17388589.0
287,19613639.5
294,21503853.5
