order,time
10,43412.0
20,68663.0
30,84889.5
40,101828.0
50,122470.5
60,152385.0
70,183675.5
80,207975.0
90,224833.5
100,280952.5
110,306829.5
120,347461.5
130,377921.0
140,413845.0
150,479008.5
160,479021.0
170,563981.0
180,604155.5
190,638794.5
200,755540.0
210,879815.0
220,871522.0
230,963827.0
240,1055584.5
250,1247497.5
260,1473380.0
270,1579013.0
280,1848010.0
290,2127684.5
300,2015713.0
310,2417513.0
320,2306490.0
330,2306592.0
340,2867673.5
350,3208154.5
360,4209600.5
370,3598174.5
380,4081983.0
390,9711071.0
400,6469665.0
410,7032691.0
420,8889616.5
430,16439354.5
440,19769837.0
450,22440223.5
460,23546956.0
470,22631445.5
480,24111911.0
490,19281683.0
500,23002483.5
