order,time
10,37883.0
20,64000.0
30,72057.5
40,84759.5
50,99020.5
60,117504.5
70,133713.5
80,151503.5
90,173702.0
100,180631.5
110,196681.5
120,217953.5
130,246417.0
140,254808.0
150,269807.5
160,288361.0
170,315525.0
180,325052.5
190,339182.5
200,348907.5
210,381528.5
220,385436.5
230,431453.5
240,437576.5
250,475660.0
260,463885.5
270,479138.0
280,510645.0
290,529827.0
300,556304.0
310,571391.5
320,612519.5
330,651243.5
340,637836.0
350,634095.5
360,666794.5
370,691519.5
380,706292.5
390,741489.0
400,771289.5
410,775461.5
420,818797.5
430,819824.0
440,827069.0
450,864694.5
460,899975.0
470,904967.5
480,948546.0
490,992853.0
500,966218.0
