order,time
10,27888.5
20,42742.5
30,57382.0
40,72265.0
50,86056.0
60,100522.5
70,114673.0
80,130397.0
90,144982.5
100,159330.0
110,175675.5
120,188829.0
130,219462.0
140,221963.0
150,257057.5
160,262833.5
170,278606.5
180,276173.0
190,291028.5
200,311134.5
210,331074.5
220,354604.0
230,377250.5
240,382936.0
250,398336.5
260,413167.5
270,434230.5
280,455455.0
290,455194.5
300,496607.5
310,522866.5
320,549081.5
330,532028.5
340,594825.5
350,590165.5
360,603102.0
370,627324.5
380,652366.5
390,691251.0
400,684024.5
410,719997.5
420,689607.0
430,731637.5
440,715549.5
450,791687.0
460,827358.5
470,847016.0
480,791376.5
490,854299.5
500,879680.0
