order,time
10,31544.5
20,50847.0
30,71591.0
40,101942.5
50,118656.5
60,147639.5
70,188421.5
80,220428.5
90,259029.5
100,306476.0
110,347490.0
120,413304.0
130,467910.0
140,586221.5
150,722973.5
160,767278.5
170,914639.5
180,1034154.0
190,1185436.5
200,1640289.5
210,1710490.0
220,1750030.0
230,2105835.5
240,2464244.5
250,2696412.5
260,3078236.0
270,3164073.0
280,3458996.5
290,4961520.5
300,5165997.5
310,4650541.0
320,4937081.5
330,6354314.5
340,6945296.0
350,6968515.0
360,8805252.0
370,8519065.0
380,9678054.5
390,10690199.5
400,13174355.0
