order,time
10,28875.0
20,48350.5
30,66668.0
40,94069.5
50,113022.0
60,137697.0
70,159140.5
80,196774.5
90,232007.5
100,249404.0
110,312954.5
120,385925.0
130,406537.0
140,511321.5
150,600713.0
160,658926.0
170,797882.5
180,711157.5
190,847652.5
200,1054108.0
210,1116397.5
220,1304808.0
230,1183379.5
240,1468672.0
250,1552214.0
260,1462486.0
270,2005492.0
280,1926775.0
290,2445538.5
300,2543781.0
310,2782581.0
320,2850935.0
330,3111101.5
340,3479003.0
350,4584797.0
360,4765894.0
370,3866255.5
380,5521973.5
390,5358677.0
400,4464649.5
410,6290499.5
420,5689990.0
430,8674655.5
440,6409080.0
450,7871485.5
460,6770396.5
470,8994173.5
480,7482097.5
490,9628454.5
500,13113150.5
