order,time
10,42145.5
20,43115.5
30,59240.5
40,76768.0
50,75697.0
60,85102.5
70,94928.0
80,105258.0
90,114246.0
100,126534.0
110,137164.5
120,148359.5
130,168410.0
140,173013.5
150,180618.0
160,191069.0
170,203108.5
180,213416.0
190,222272.0
200,235458.0
210,243867.5
220,252582.0
230,260951.0
240,273159.5
250,289231.5
260,300069.5
270,305630.5
280,318006.5
290,327376.5
300,337056.0
310,349909.0
320,361025.0
330,375959.0
340,384862.5
350,394843.5
360,410520.5
370,417487.0
380,428021.5
390,438231.5
400,450698.0
410,459012.5
420,467113.5
430,479938.0
440,488318.0
450,500484.5
460,511483.0
470,520944.5
480,539724.0
490,544603.5
500,557487.0
