order,time
7,36811.5
14,53848.5
21,76510.5
28,92562.5
35,127869.5
42,146194.5
49,180617.0
56,215268.0
63,252048.5
70,306670.5
77,351254.5
84,400389.5
91,457443.0
98,590482.0
105,638607.0
112,746156.5
119,971737.5
126,1095885.5
133,1360181.0
140,1679929.5
147,2064213.0
154,2683543.0
161,3104605.0
168,4599246.0
175,7997074.5
182,10514172.0
189,11242104.0
196,19731100.0
203,22529785.5
210,24366687.0
217,26161323.0
224,28571177.5
231,27055525.5
238,34112915.0
245,29877207.0
252,43650784.5
259,50629202.5
266,56500366.0
273,73913163.5
280,72128187.0
287,82086240.0
294,97002719.0
